iter	Logloss
0	0.6666925429
1	0.6468575814
2	0.6318581665
3	0.6199671305
4	0.6105455838
5	0.6034075042
6	0.5972031691
7	0.5910729738
8	0.586176688
9	0.5815155904
10	0.5771969109
11	0.5732570367
12	0.5696689233
13	0.5658915367
14	0.5628294416
15	0.5591840463
16	0.5558344288
17	0.5528517745
18	0.5504011803
19	0.5480858573
20	0.5463411736
21	0.5430832395
22	0.5404798485
23	0.5385756605
24	0.5359516418
25	0.5336623626
26	0.5317767362
27	0.5295595981
28	0.5281497061
29	0.5259863221
30	0.5243884661
31	0.5225604109
32	0.5208521943
33	0.5193840599
34	0.5175224646
35	0.5159785561
36	0.5147717884
37	0.5134780237
38	0.5122584467
39	0.5108528513
40	0.5094386124
41	0.5080412966
42	0.5068224739
43	0.5057996958
44	0.5051906583
45	0.5038705164
46	0.5029804784
47	0.5017579821
48	0.500798807
49	0.499453886
50	0.4985699129
51	0.4974884889
52	0.4964188897
53	0.4953035872
54	0.4944711123
55	0.4933623085
56	0.4925456565
57	0.4919189742
58	0.4913532448
59	0.4905483139
60	0.4895383119
61	0.4885627151
62	0.4875775837
63	0.4869801726
64	0.4865563748
65	0.4856134171
66	0.4846708563
67	0.4838063504
68	0.4829908782
69	0.4821616925
70	0.4813989116
71	0.4807245695
72	0.480132195
73	0.4792797226
74	0.4785228834
75	0.4777884882
76	0.4771171649
77	0.4763814761
78	0.475822701
79	0.475135283
80	0.4745672378
81	0.4738629037
82	0.4731944887
83	0.4727067051
84	0.4720107541
85	0.4713779307
86	0.4708753691
87	0.4702829797
88	0.4698369245
89	0.4692660878
90	0.4687498683
91	0.4682078744
92	0.4677865925
93	0.4672599846
94	0.4667501691
95	0.4661533506
96	0.4657310861
97	0.4652369867
98	0.4647503501
99	0.4643018676
