iter	Passed	Remaining
0	48	24070
1	78	19461
2	111	18518
3	146	18162
4	177	17602
5	206	17039
6	235	16617
7	264	16281
8	294	16068
9	321	15738
10	339	15075
11	366	14900
12	396	14837
13	423	14699
14	452	14626
15	479	14509
16	509	14475
17	538	14410
18	566	14347
19	594	14256
20	617	14090
21	645	14034
22	674	13994
23	708	14044
24	737	14015
25	767	13999
26	798	13984
27	828	13963
28	858	13942
29	889	13938
30	919	13914
31	950	13905
32	981	13891
33	1011	13861
34	1041	13837
35	1074	13849
36	1106	13850
37	1141	13881
38	1179	13938
39	1218	14013
40	1254	14039
41	1287	14045
42	1317	13998
43	1346	13959
44	1376	13920
45	1406	13881
46	1436	13843
47	1466	13810
48	1496	13776
49	1527	13748
50	1556	13701
51	1585	13660
52	1616	13629
53	1646	13601
54	1677	13571
55	1708	13543
56	1738	13508
57	1767	13469
58	1798	13445
59	1829	13413
60	1860	13389
61	1893	13378
62	1914	13277
63	1942	13231
64	1972	13199
65	2002	13169
66	2032	13133
67	2053	13042
68	2081	13004
69	2111	12970
70	2142	12945
71	2172	12916
72	2203	12886
73	2233	12856
74	2278	12913
75	2308	12876
76	2337	12843
77	2368	12812
78	2398	12782
79	2427	12744
80	2456	12705
81	2484	12667
82	2513	12626
83	2542	12589
84	2573	12563
85	2603	12533
86	2634	12506
87	2664	12473
88	2694	12444
89	2722	12404
90	2754	12378
91	2785	12352
92	2815	12321
93	2844	12284
94	2874	12252
95	2904	12222
96	2932	12184
97	2963	12156
98	2994	12128
99	3023	12094
100	3052	12059
101	3083	12029
102	3112	11998
103	3143	11970
104	3173	11938
105	3202	11904
106	3232	11870
107	3261	11838
108	3272	11738
109	3301	11703
110	3329	11669
111	3362	11649
112	3399	11641
113	3434	11628
114	3472	11624
115	3507	11610
116	3542	11595
117	3575	11575
118	3608	11552
119	3639	11526
120	3672	11502
121	3703	11474
122	3736	11451
123	3765	11418
124	3798	11394
125	3829	11367
126	3860	11337
127	3893	11315
128	3910	11245
129	3939	11213
130	3970	11184
131	4000	11152
132	4031	11123
133	4061	11093
134	4091	11062
135	4121	11031
136	4152	11002
137	4184	10975
138	4214	10945
139	4244	10913
140	4274	10882
141	4303	10850
142	4334	10820
143	4366	10794
144	4394	10759
145	4427	10734
146	4456	10701
147	4487	10673
148	4518	10644
149	4549	10616
150	4579	10583
151	4611	10557
152	4642	10529
153	4672	10497
154	4702	10466
155	4733	10438
156	4763	10406
157	4793	10375
158	4822	10343
159	4852	10310
160	4880	10277
161	4908	10241
162	4919	10170
163	4947	10136
164	4978	10108
165	5009	10079
166	5040	10051
167	5070	10020
168	5100	9989
169	5129	9957
170	5159	9927
171	5188	9893
172	5217	9862
173	5247	9832
174	5278	9803
175	5307	9771
176	5338	9742
177	5367	9710
178	5398	9680
179	5428	9650
