iter	Accuracy	Logloss
0	0.7380897583	0.6759954866
1	0.76570771	0.6599511045
2	0.779976985	0.6407350739
3	0.7735327963	0.6270517573
4	0.7788262371	0.6135893891
5	0.783429229	0.6039763649
6	0.7666283084	0.5911269717
7	0.7636363636	0.5812382061
8	0.7682393556	0.5708173243
9	0.7659378596	0.5623912094
10	0.7636363636	0.5574697805
11	0.7744533947	0.5495750596
12	0.7742232451	0.5431695051
13	0.7721518987	0.5378587731
14	0.7769850403	0.5319429285
15	0.7797468354	0.5253574815
16	0.7841196778	0.5212546653
17	0.7855005754	0.5158838393
18	0.7878020713	0.5111426083
19	0.7889528193	0.5064227989
20	0.7898734177	0.5035597044
21	0.7940161105	0.4993334405
22	0.7949367089	0.4958155883
23	0.798849252	0.4921772849
24	0.8002301496	0.4883167759
25	0.7993095512	0.4840471835
26	0.8006904488	0.4813392415
27	0.8013808976	0.4787698566
28	0.8041426928	0.4756670833
29	0.8027617952	0.4728376953
30	0.802301496	0.4702038805
31	0.8027617952	0.4666988163
32	0.8039125432	0.464899879
33	0.8041426928	0.4623364197
34	0.8059838895	0.4607174053
35	0.8062140391	0.4589324022
36	0.8069044879	0.457586815
37	0.8064441887	0.4555748833
38	0.8052934407	0.4539632059
39	0.8057537399	0.4528157258
40	0.8073647871	0.4507054787
41	0.8092059839	0.449065112
42	0.8073647871	0.447619053
43	0.8082853855	0.4455080415
44	0.8075949367	0.4436805804
45	0.8087456847	0.4421498886
46	0.8094361335	0.4404857364
47	0.8096662831	0.4397632041
48	0.8092059839	0.4385638055
49	0.8098964327	0.4378427759
50	0.8117376295	0.4367033321
51	0.8110471807	0.4358983739
52	0.8105868815	0.4345929006
53	0.8103567319	0.4337852294
54	0.8115074799	0.4329679596
55	0.8119677791	0.4321454887
56	0.8117376295	0.4309258645
57	0.8115074799	0.4292500539
58	0.8126582278	0.4283858676
59	0.8119677791	0.4270820093
60	0.8124280783	0.4263932283
61	0.8124280783	0.4254965816
62	0.8133486766	0.425214766
63	0.8126582278	0.4240861659
64	0.8144994246	0.4232357233
65	0.8138089758	0.422586625
66	0.814269275	0.4216594679
67	0.8147295742	0.4213484076
68	0.8144994246	0.4206595074
69	0.8144994246	0.420254102
70	0.8144994246	0.419770005
71	0.814269275	0.4191111661
72	0.8151898734	0.4185524347
73	0.8156501726	0.417947119
74	0.8161104718	0.4175364203
75	0.8163406214	0.4166226333
76	0.816570771	0.4160969651
77	0.8163406214	0.4157488681
78	0.8172612198	0.415120443
79	0.8172612198	0.4142308485
80	0.8174913694	0.4133373923
81	0.8179516686	0.4128594684
82	0.8186421174	0.4122176079
83	0.818872267	0.4111641415
84	0.818872267	0.4107803423
85	0.8181818182	0.410265552
86	0.8193325662	0.4098158134
87	0.8195627158	0.4091310884
88	0.8191024166	0.4085486544
89	0.8202531646	0.4081789991
90	0.8195627158	0.407875041
91	0.820023015	0.4076178797
92	0.8204833142	0.4072458897
93	0.8202531646	0.4069299619
94	0.8202531646	0.4063314398
95	0.820023015	0.4060087611
96	0.8204833142	0.4057354804
97	0.8202531646	0.4053344828
98	0.8204833142	0.4050054178
99	0.8207134638	0.4046136964
100	0.8207134638	0.4041960061
101	0.8207134638	0.4036462427
102	0.8209436133	0.4030391334
103	0.8216340621	0.4026179738
104	0.8216340621	0.4021000898
105	0.8209436133	0.4014051509
106	0.8211737629	0.4005152276
107	0.8225546605	0.3997181438
108	0.8225546605	0.3997181425
109	0.8230149597	0.3991098306
110	0.8230149597	0.3987221172
111	0.8230149597	0.398348879
112	0.8223245109	0.3980476981
113	0.8225546605	0.397674827
114	0.8237054085	0.3973048375
115	0.8230149597	0.396977028
116	0.8230149597	0.3966461167
117	0.8230149597	0.3961890672
118	0.8237054085	0.3958901533
119	0.8230149597	0.395505222
120	0.8234752589	0.3952550788
121	0.8237054085	0.3951237161
122	0.8243958573	0.3948291848
123	0.8250863061	0.3945260703
124	0.8250863061	0.3939102515
125	0.8250863061	0.3935405311
126	0.8262370541	0.3933535398
127	0.8264672037	0.3931355148
128	0.8262370541	0.39301888
129	0.8257767549	0.3927243885
130	0.8264672037	0.3924030204
131	0.8266973533	0.3921019656
132	0.8266973533	0.3918379848
133	0.8264672037	0.3916397125
134	0.8269275029	0.3915056748
135	0.8269275029	0.3910725132
136	0.8262370541	0.3904424412
137	0.8271576525	0.3900658057
138	0.8273878021	0.3895934921
139	0.8283084005	0.3890420627
140	0.8283084005	0.388716473
141	0.8280782509	0.3885134139
142	0.8280782509	0.3881605638
143	0.8278481013	0.3879457517
144	0.8278481013	0.3876099865
145	0.8278481013	0.3872905581
146	0.8283084005	0.3871747098
147	0.8285385501	0.3870089829
148	0.8280782509	0.386745934
149	0.8276179517	0.3865378388
150	0.8285385501	0.3862445401
151	0.8292289988	0.3857746897
152	0.8292289988	0.3855675331
153	0.8292289988	0.3853296778
154	0.8287686997	0.3851146061
155	0.8289988493	0.3848091615
156	0.8292289988	0.3843651655
157	0.8294591484	0.3840651791
158	0.8292289988	0.3835368034
159	0.8294591484	0.3833132552
160	0.8292289988	0.3830469511
161	0.8299194476	0.3827223124
162	0.8303797468	0.3826729583
163	0.8294591484	0.3823631477
164	0.8294591484	0.3820878077
165	0.8299194476	0.3819618104
166	0.829689298	0.3816512672
167	0.8299194476	0.3814796309
168	0.829689298	0.3813417168
169	0.830840046	0.3811733348
170	0.8310701956	0.3809810406
171	0.8313003452	0.3807768484
172	0.8317606444	0.3806904008
173	0.8317606444	0.3806228514
174	0.831990794	0.3805143064
175	0.8322209436	0.3801656072
176	0.831990794	0.3797937618
177	0.831990794	0.3792101411
178	0.8322209436	0.3789549139
179	0.8324510932	0.378509576
180	0.8336018412	0.3782462527
181	0.8336018412	0.3779365439
182	0.8340621404	0.3776334446
183	0.8336018412	0.37713938
184	0.8338319908	0.3770383172
185	0.8336018412	0.3769853443
186	0.8333716916	0.3768649381
187	0.83429229	0.3765336584
188	0.83429229	0.3762695303
189	0.8347525892	0.375932761
190	0.8345224396	0.3757263811
191	0.8361334868	0.3753425927
192	0.836593786	0.375064469
193	0.836593786	0.3750402506
194	0.8368239356	0.3748706994
195	0.8370540852	0.3746720204
196	0.8375143843	0.3741950011
197	0.8375143843	0.374010089
198	0.8375143843	0.3739726749
199	0.8375143843	0.3736589888
200	0.8379746835	0.3734735364
201	0.8382048331	0.373357336
202	0.8384349827	0.3732743785
203	0.8379746835	0.3729314298
204	0.8384349827	0.3726795136
205	0.8384349827	0.3726795133
206	0.8384349827	0.3723057081
207	0.8384349827	0.3720988941
208	0.8388952819	0.3719146225
209	0.8393555811	0.3717475026
210	0.8386651323	0.3713447729
211	0.8386651323	0.371202522
212	0.8391254315	0.3710398962
213	0.8388952819	0.3709338616
214	0.8388952819	0.3708253686
215	0.8391254315	0.3706112255
216	0.8386651323	0.3704618294
217	0.8393555811	0.370038798
218	0.8388952819	0.3695436052
219	0.8393555811	0.3686874857
220	0.8393555811	0.3683957259
221	0.8393555811	0.3683132651
222	0.8395857307	0.3681317864
223	0.8393555811	0.3678284318
224	0.8391254315	0.3675278287
225	0.8395857307	0.3674511732
226	0.8395857307	0.3671768998
227	0.8395857307	0.3671018597
228	0.8395857307	0.3670566243
229	0.8402761795	0.3665159827
230	0.8398158803	0.3664756546
231	0.8400460299	0.3662502297
232	0.8400460299	0.3660425007
233	0.8400460299	0.3656412353
234	0.8405063291	0.3652167471
235	0.8414269275	0.3647617002
236	0.8409666283	0.3641112169
237	0.8409666283	0.3639653727
238	0.8414269275	0.3637234594
239	0.8414269275	0.3635665918
240	0.8409666283	0.3633455913
241	0.8411967779	0.3632798495
242	0.8409666283	0.3630792215
243	0.8411967779	0.3629773127
244	0.8416570771	0.3627423462
245	0.8416570771	0.36257586
246	0.8416570771	0.3624688241
247	0.8425776755	0.3614064021
248	0.8425776755	0.3611959732
249	0.8423475259	0.3609501225
250	0.8421173763	0.3608323516
251	0.8425776755	0.3605092922
252	0.8432681243	0.3604232191
253	0.8434982739	0.360122716
254	0.8434982739	0.3600554381
255	0.8432681243	0.3598337625
256	0.8437284235	0.3594905503
257	0.8437284235	0.3594255696
258	0.8437284235	0.3593145216
259	0.8439585731	0.3589777472
260	0.8444188723	0.3588941903
261	0.8441887227	0.3585079352
262	0.8441887227	0.3582068977
263	0.8434982739	0.35787644
264	0.8439585731	0.3574845757
265	0.8432681243	0.3573323136
266	0.8437284235	0.356953162
267	0.8434982739	0.3568485552
268	0.8437284235	0.3566256186
269	0.8437284235	0.3563275332
