iter	Passed	Remaining
0	44	22018
1	75	18706
2	102	16946
3	136	16937
4	166	16501
5	194	15979
6	213	15016
7	238	14671
8	266	14554
9	295	14463
10	322	14356
11	351	14293
12	378	14191
13	405	14079
14	432	13988
15	469	14197
16	504	14320
17	536	14361
18	572	14486
19	603	14479
20	631	14414
21	660	14357
22	690	14313
23	719	14273
24	755	14355
25	787	14361
26	820	14378
27	856	14431
28	889	14444
29	923	14469
30	960	14534
31	995	14563
32	1034	14637
33	1068	14643
34	1102	14642
35	1134	14621
36	1165	14581
37	1197	14557
38	1227	14512
39	1258	14469
40	1288	14422
41	1318	14378
42	1348	14334
43	1379	14296
44	1411	14274
45	1441	14230
46	1472	14192
47	1503	14157
48	1533	14111
49	1562	14062
50	1591	14013
51	1622	13976
52	1652	13937
53	1683	13906
54	1713	13863
55	1744	13828
56	1773	13785
57	1807	13772
58	1844	13783
59	1882	13803
60	1917	13797
61	1963	13873
62	1999	13872
63	2037	13882
64	2069	13851
65	2103	13831
66	2135	13798
67	2174	13812
68	2235	13964
69	2300	14129
70	2366	14300
71	2419	14381
72	2467	14431
73	2513	14467
74	2556	14484
75	2601	14513
76	2646	14540
77	2692	14565
78	2739	14600
79	2782	14607
80	2846	14722
81	2914	14856
82	2974	14945
83	3026	14986
84	3060	14944
85	3094	14898
86	3127	14848
87	3160	14796
88	3194	14754
89	3229	14713
90	3264	14674
91	3296	14619
92	3324	14549
93	3354	14487
94	3384	14427
95	3413	14365
96	3443	14304
97	3474	14251
98	3504	14195
99	3533	14133
100	3562	14073
101	3591	14013
102	3619	13952
103	3649	13896
104	3679	13843
105	3709	13786
106	3740	13737
107	3769	13681
108	3798	13625
109	3827	13569
110	3856	13514
111	3884	13457
112	3912	13399
113	3942	13349
114	3970	13293
115	3999	13238
116	4025	13178
117	4055	13127
118	4082	13072
119	4112	13022
120	4141	12972
121	4171	12924
122	4199	12870
123	4228	12822
124	4258	12774
125	4286	12722
126	4311	12662
127	4340	12614
128	4369	12567
129	4399	12521
130	4427	12471
131	4456	12424
132	4485	12378
133	4515	12332
134	4543	12284
135	4572	12237
136	4600	12189
137	4630	12146
138	4659	12100
139	4688	12056
140	4717	12010
141	4746	11967
142	4777	11926
143	4806	11883
144	4835	11838
145	4865	11798
146	4898	11762
147	4927	11720
148	4957	11678
149	4987	11637
150	5015	11592
151	5045	11550
152	5073	11507
153	5103	11465
154	5132	11424
155	5161	11382
156	5190	11339
157	5218	11296
158	5245	11249
159	5273	11206
160	5302	11164
161	5334	11129
162	5363	11088
163	5394	11051
164	5424	11014
165	5453	10973
166	5481	10930
167	5507	10884
168	5536	10844
169	5566	10804
170	5592	10760
171	5620	10717
172	5649	10678
173	5660	10605
174	5690	10567
175	5715	10520
176	5740	10475
177	5768	10435
178	5796	10395
179	5826	10358
180	5855	10320
181	5884	10282
182	5913	10242
183	5942	10206
184	5970	10166
185	6001	10131
186	6028	10091
187	6059	10055
188	6086	10015
189	6116	9979
190	6146	9943
191	6173	9903
192	6199	9861
193	6227	9823
194	6257	9786
195	6287	9751
196	6315	9714
197	6343	9675
198	6372	9639
199	6402	9603
200	6431	9567
201	6461	9532
202	6491	9497
203	6521	9462
204	6551	9428
205	6579	9389
206	6608	9354
207	6638	9319
208	6670	9287
209	6699	9251
210	6728	9216
211	6757	9179
212	6786	9144
213	6814	9107
214	6842	9070
215	6871	9034
216	6901	9000
217	6929	8963
218	6958	8928
219	6987	8892
220	7031	8877
221	7059	8840
222	7089	8806
223	7119	8771
224	7147	8735
225	7176	8700
226	7206	8666
227	7235	8631
228	7263	8595
229	7291	8559
230	7320	8524
231	7349	8489
232	7379	8456
233	7408	8422
234	7439	8389
235	7468	8354
236	7497	8320
237	7525	8283
238	7553	8248
239	7583	8215
240	7611	8179
241	7640	8146
242	7669	8110
243	7698	8077
244	7727	8042
245	7757	8009
246	7787	7976
247	7815	7941
248	7842	7905
249	7870	7870
250	7899	7836
251	7926	7801
252	7954	7766
253	7985	7733
254	8013	7699
255	8043	7666
256	8073	7633
257	8102	7600
258	8131	7566
259	8160	7532
260	8188	7498
261	8218	7465
262	8248	7433
263	8276	7399
264	8304	7364
265	8333	7331
266	8361	7297
267	8391	7263
268	8421	7231
269	8450	7198
270	8478	7164
271	8507	7130
272	8535	7097
273	8566	7065
274	8598	7035
275	8628	7002
276	8658	6970
277	8690	6939
278	8719	6906
279	8749	6874
280	8779	6842
281	8811	6811
282	8846	6783
283	8877	6751
284	8908	6720
285	8937	6687
286	8966	6654
287	8996	6622
288	9026	6590
289	9057	6558
290	9086	6526
291	9117	6494
292	9147	6462
293	9178	6430
294	9208	6399
295	9238	6366
296	9267	6334
297	9299	6303
298	9329	6271
299	9359	6239
300	9387	6206
301	9416	6173
302	9446	6141
303	9476	6109
304	9505	6077
305	9535	6045
306	9566	6013
307	9596	5982
308	9626	5950
309	9657	5919
310	9690	5888
311	9719	5856
312	9749	5824
313	9780	5793
314	9811	5762
315	9841	5730
316	9872	5699
317	9904	5668
318	9935	5637
319	9966	5606
320	9999	5575
321	10029	5544
322	10059	5512
323	10090	5481
324	10120	5449
325	10151	5418
326	10182	5386
327	10212	5355
328	10241	5323
329	10271	5291
330	10302	5260
331	10333	5228
332	10368	5199
333	10407	5172
334	10445	5144
335	10483	5116
