iter	Accuracy	Logloss
89	0.9107430412	0.2373706149
90	0.9112031286	0.2364435938
91	0.911663216	0.2354212935
92	0.9121233034	0.2335789139
93	0.9130434783	0.2328540498
94	0.9141936968	0.2315955319
95	0.9141936968	0.2304927277
96	0.9144237405	0.2299767551
97	0.9151138716	0.2277582316
98	0.9153439153	0.226377459
99	0.9162640902	0.2254218017
100	0.9169542213	0.2236374509
101	0.9178743961	0.2229220028
102	0.918794571	0.2217821242
103	0.9190246147	0.2205112999
104	0.9201748332	0.2195619705
105	0.9206349206	0.2188539766
106	0.9208649643	0.2180865582
107	0.9220151829	0.2152249663
108	0.9236254888	0.2139584318
109	0.9236254888	0.2131121341
110	0.92431562	0.2120637243
111	0.9252357948	0.2106108928
112	0.9268461008	0.2073346425
113	0.9279963193	0.2062880037
114	0.928226363	0.2059199092
115	0.9286864504	0.2052608923
116	0.9286864504	0.2041076885
117	0.9289164941	0.2032861469
118	0.9284564067	0.202098248
119	0.9273061882	0.2013735898
120	0.9293765816	0.2006852271
121	0.929836669	0.199495452
122	0.9305268001	0.1990561461
123	0.9339774557	0.1958087373
124	0.933747412	0.1947085472
125	0.935357718	0.1935508755
126	0.9355877617	0.1933474451
127	0.9351276743	0.1927570152
128	0.9358178054	0.1924249562
129	0.9365079365	0.191722231
130	0.9367379802	0.1906291592
131	0.9367379802	0.1898940757
132	0.9381182425	0.1887349313
133	0.9383482862	0.1884998159
134	0.9378881988	0.1875139597
135	0.9381182425	0.1858263675
136	0.9390384173	0.1855098833
137	0.9401886358	0.1840719612
138	0.9406487233	0.182522239
139	0.9417989418	0.181337139
140	0.9413388544	0.1805606174
141	0.9415688981	0.1796961512
142	0.9422590292	0.1785353609
143	0.9427191166	0.1776439283
144	0.9429491603	0.1770057804
145	0.9438693352	0.1765636955
146	0.9443294226	0.1757526656
147	0.9445594663	0.1751999946
148	0.9443294226	0.1744240266
149	0.9450195537	0.1737195473
150	0.9450195537	0.1720403263
151	0.9457096848	0.1716505149
152	0.9452495974	0.1706353399
153	0.9450195537	0.1703961122
154	0.9461697723	0.1689102255
155	0.9466298597	0.1684444449
156	0.9477800782	0.1672287086
157	0.9484702093	0.1655159717
158	0.9484702093	0.1646538604
159	0.9484702093	0.1640724618
160	0.9482401656	0.1639746022
161	0.9500805153	0.1628159132
162	0.9505406027	0.1619873344
163	0.9514607775	0.1605776788
164	0.9512307338	0.1601803167
165	0.9514607775	0.1590044241
166	0.9514607775	0.158635398
167	0.9510006901	0.1581137812
168	0.9516908213	0.1573305417
169	0.9523809524	0.1561631322
170	0.9535311709	0.1545283335
171	0.9549114332	0.1536325336
172	0.9556015643	0.1530783599
173	0.955831608	0.1527622262
174	0.9565217391	0.1523302244
175	0.9572118703	0.1512722743
176	0.9567517828	0.150908423
177	0.9562916954	0.1502706158
178	0.9569818265	0.1498891278
179	0.9565217391	0.1495228266
180	0.9567517828	0.1493526508
181	0.9572118703	0.1490144122
182	0.957441914	0.1482450877
183	0.9595123073	0.1472903076
184	0.9602024385	0.1470532736
185	0.961352657	0.1455429116
186	0.9615827007	0.1449286503
187	0.9611226133	0.1443908442
188	0.9611226133	0.1436110701
189	0.9618127444	0.1432691399
190	0.9618127444	0.1422454331
191	0.9618127444	0.1417768654
192	0.9618127444	0.1414810447
193	0.9611226133	0.1411621156
194	0.9615827007	0.1400318106
195	0.9634230504	0.1395988337
196	0.9625028755	0.1391915828
197	0.9634230504	0.1382434317
198	0.962962963	0.1379606172
199	0.9648033126	0.1377281563
200	0.9661835749	0.1367183163
201	0.9664136186	0.1353543948
202	0.9666436623	0.1349868585
203	0.9659535312	0.1339610622
204	0.9664136186	0.1335484187
205	0.9661835749	0.1332801501
206	0.9671037497	0.1325897539
207	0.9664136186	0.1318820533
208	0.9666436623	0.131696207
