iter	Accuracy	Logloss
0	0.7310170272	0.5541144265
1	0.7738150023	0.4781504338
2	0.7940635067	0.4549647529
3	0.7917625403	0.4416070526
4	0.7924528302	0.4352630548
5	0.7988955361	0.4280742693
6	0.8030372757	0.4188708401
7	0.8078693051	0.4121145452
8	0.8124712379	0.4067427901
9	0.8108605614	0.4049295518
10	0.8113207547	0.4031133951
11	0.8152323976	0.3984726564
12	0.8156925909	0.3954597356
13	0.817533364	0.3931485604
14	0.820754717	0.3873638122
15	0.820754717	0.3851054039
16	0.8225954901	0.3821535299
17	0.8228255867	0.378756122
18	0.8242061666	0.3772763628
19	0.8253566498	0.3751126123
20	0.8276576162	0.3717417179
21	0.8299585826	0.3694630185
22	0.8315692591	0.3668227886
23	0.8324896457	0.3645716464
24	0.8352508053	0.3610995158
25	0.8377818684	0.3575541522
26	0.8375517717	0.3547491873
27	0.8407731247	0.3496926262
28	0.8416935113	0.3426181436
29	0.8423838012	0.3402921519
30	0.8433041878	0.3392833059
31	0.850207087	0.3354634966
32	0.8495167971	0.3309258577
33	0.8506672803	0.3268425611
34	0.8513575702	0.3261424536
35	0.8529682467	0.3234499142
36	0.8538886332	0.3215903494
37	0.8561895996	0.3183932836
38	0.8596410492	0.3154268863
39	0.8578002761	0.3137844565
40	0.8594109526	0.3125654242
41	0.858490566	0.3115612819
42	0.8589507593	0.3103388573
43	0.8594109526	0.3095319651
44	0.8594109526	0.3084384838
45	0.8612517257	0.3067533114
46	0.8624022089	0.3020047295
47	0.8647031753	0.2995003536
48	0.8667740451	0.2969934896
49	0.8683847216	0.2955506971
50	0.8693051081	0.2922121666
51	0.8725264611	0.2892032008
52	0.8734468477	0.2875092974
53	0.8745973309	0.2841807522
54	0.8743672342	0.2822659264
55	0.8771283939	0.280060899
56	0.8768982973	0.2789316759
57	0.8775885872	0.2779232395
58	0.8817303267	0.2753927355
59	0.8826507133	0.2746169179
60	0.885411873	0.2727473779
61	0.8863322595	0.2709618738
