iter	Passed	Remaining
402	12058	2902
403	12089	2872
404	12123	2843
405	12156	2814
406	12186	2784
407	12217	2754
408	12245	2724
409	12273	2694
410	12302	2663
411	12331	2633
412	12360	2603
413	12392	2574
414	12423	2544
415	12454	2514
416	12484	2485
417	12520	2456
418	12556	2427
419	12591	2398
420	12638	2371
421	12669	2341
422	12699	2311
423	12729	2281
424	12757	2251
425	12786	2221
426	12832	2193
427	12862	2163
428	12892	2133
429	12922	2103
430	12953	2073
431	12981	2043
432	13010	2013
433	13040	1983
434	13071	1953
435	13100	1923
436	13130	1892
437	13176	1865
438	13209	1835
439	13239	1805
440	13269	1775
441	13299	1745
442	13329	1715
443	13360	1685
444	13388	1654
445	13418	1624
446	13448	1594
447	13479	1564
448	13511	1534
449	13542	1504
450	13573	1474
451	13602	1444
452	13631	1414
453	13661	1384
454	13692	1354
455	13722	1324
456	13752	1293
457	13782	1263
458	13821	1234
459	13851	1204
460	13881	1174
461	13915	1144
462	13945	1114
463	13974	1084
464	14005	1054
465	14043	1024
466	14074	994
467	14103	964
468	14130	934
469	14159	903
470	14189	873
471	14219	843
472	14248	813
473	14277	783
474	14306	752
475	14336	722
476	14366	692
477	14394	662
478	14425	632
479	14453	602
480	14486	572
481	14515	542
482	14545	511
483	14576	481
484	14608	451
485	14639	421
486	14669	391
487	14699	361
488	14730	331
489	14769	301
490	14800	271
491	14830	241
492	14863	211
493	14893	180
494	14925	150
495	14956	120
496	14988	90
497	15019	60
498	15052	30
499	15082	0
