iter	Passed	Remaining
401	18887	4604
402	18935	4557
403	19008	4516
404	19083	4476
405	19138	4431
406	19184	4383
407	19242	4339
408	19286	4291
409	19331	4243
410	19380	4196
411	19429	4149
412	19497	4107
413	19547	4060
414	19606	4015
415	19669	3971
416	19714	3924
417	19763	3877
418	19807	3829
419	19854	3781
420	19909	3735
421	19954	3688
422	20005	3641
423	20054	3594
424	20104	3547
425	20152	3500
426	20201	3453
427	20251	3406
428	20297	3359
429	20347	3312
430	20398	3265
431	20450	3219
432	20501	3172
433	20570	3128
434	20618	3080
435	20669	3034
436	20718	2986
437	20765	2939
438	20815	2892
439	20865	2845
440	20943	2801
441	20993	2754
442	21040	2707
443	21095	2660
444	21142	2613
445	21191	2565
446	21256	2520
447	21303	2472
448	21351	2425
449	21398	2377
450	21446	2330
451	21510	2284
452	21557	2236
453	21604	2189
454	21655	2141
455	21706	2094
456	21767	2048
457	21841	2002
458	21897	1955
459	21946	1908
460	21996	1860
461	22048	1813
462	22098	1765
463	22145	1718
464	22194	1670
465	22239	1622
466	22286	1574
467	22333	1527
468	22383	1479
469	22431	1431
470	22480	1384
471	22527	1336
472	22576	1288
473	22625	1241
474	22674	1193
475	22723	1145
476	22771	1098
477	22817	1050
478	22868	1002
479	22913	954
480	22962	907
481	23011	859
482	23057	811
483	23111	764
484	23173	716
485	23221	668
486	23267	621
487	23317	573
488	23368	525
489	23419	477
490	23463	430
491	23511	382
492	23558	334
493	23605	286
494	23655	238
495	23702	191
496	23747	143
497	23808	95
498	23855	47
499	23907	0
